அங்கீகாரம்  ,recognition,அங்கீ3கார்,अङ्गीकार्,ꢂꢖ꣄ꢔꢷꢒꢵꢬ꣄
ஒப்படைப்பு  ,handover,பரவஸொ கெர்னி,परवसा॑ क॑र्नि,ꢦꢬꢮꢱꣁ ꢒꢾꢬ꣄ꢥꢶ
ஒப்பந்தப்புள்ளி  ,tender,ஒப்பந்த3ஸூசனொ,आ॑प्पन्द सूचना॑,ꢏꢦ꣄ꢦꢥ꣄ꢣ ꢱꢹꢗꢥꣁ
ஒப்பந்தம்  ,contract,ஒப்பந்த3ம்  ,आ॑प्पन्दम,ꢏꢦ꣄ꢦꢥ꣄ꢣꢪ꣄
ஒப்பு  ,signature,ஹாது அக்ஷர்,हातु अक्षर,ꢲꢵꢡꢸ ꢂꢒ꣄ꢰꢬ꣄
ஒப்புகை  ,acknowledge ment,ஸ்வீகர்னி/ப்ராப்தி ஸங்கி3னி,"स्वीकर्नि, प्राप्ति सङ्गिनि","ꢱ꣄ꢮꢷꢒꢬ꣄ꢥꢶ, ꢦ꣄ꢬꢵꢦ꣄ꢡꢶ ꢱꢖ꣄ꢔꢶꢥꢶ"
ஒப்புதல்,acceptance,ஒப்பில்னி,आ॑प्पिल्नि,ꢏꢦ꣄ꢦꢶꢭ꣄ꢥꢶ
ஒப்புவிப்பு,surrender,லோதனி,लेतनि,ꢭꢿꢡꢥꢶ
ஒருமைப்பாடு  ,integration,ஐக்ய பா4வனொ,ऐक्यभावना॑,ꢎꢒ꣄ꢫ ꢩꢵꢮꢥꣁ
ஒழுங்குமுறை  ,regulation,நியமொ,नियमा॑,ꢥꢶꢫꢪꣁ
ஒலிபரப்பு  ,broad casting,தொ4னிநெர்பினி/ தொ4னி ப்ரஸார்,"धा॑नि न॑र्पिनि, धा॑नि प्रसार","ꢤꣁꢥꢶꢥꢾꢬ꣄ꢦꢶꢥꢶ, ꢤꣁꢥꢶ ꢦ꣄ꢬꢱꢵꢬ꣄"
ஒளிபரப்பு  ,telecasting,ரூபுநெர்பினி / ரூபு ப்ரஸார்,"रूपु न॑र्पिनि,    रूपु प्रसार","ꢬꢹꢦꢸ ꢥꢾꢬ꣄ꢦꢶꢥꢶ, ꢬꢹꢦꢸ ꢦ꣄ꢬꢱꢵꢬ꣄"
ஒற்றன்  ,spy,லுக்ஜானி/கு3ப்தசாரி/கு3ப்தொ/கு3டா3சாரி,"लुगञानि, गुप्तचारि, गुप्ता॑, गुडाचारि","ꢭꢸꢔ꣄ꢙꢵꢥꢶ, ꢔꢸꢦ꣄ꢡꢗꢵꢬꢶ, ꢔꢸꢦ꣄ꢡꣁ, ꢔꢸꢞꢵꢗꢵꢬꢶ"
ஒற்றி,mortgage,குட்ரொ,कुट्रा॑,ꢒꢸꢣ꣄ꢮꣁ
ஒன்றியம்  ,union,ஸங்க3ம்,चङ्गम्,ꢗꢖ꣄ꢔꢪ꣄
ஓட்டு  ,vote,வோட் / மததா3ன் / வாக்3தா3ன்,"वाक्, मतदान, वाग्दान","ꢮꢵꢒ꣄, ꢪꢡꢣꢵꢥ꣄, ꢮꢵꢔ꣄ꢣꢵꢥ꣄"
ஓட்டுரிமை  ,franchise,வாக்பா3த்யொ,वाक्बात्या॑,ꢮꢵꢒ꣄ ꢨꢵꢡ꣄ꢫꣁ
ஓய்வூ பெறுதல்  ,retiring,விஸ்ராந்தி/விரதி,"विस्रान्ति, विरति","ꢮꢶꢱ꣄ꢬꢵꢥ꣄ꢡꢶ, ꢮꢶꢬꢡꢶ"
கட்சி  ,party,கக்ஷி,कक्षि,ꢒꢒ꣄ꢰꢶ
கட்டணம் ,fare,ஸுல்கம் / த3ரொ / மோல்,"सूल्कम्, दरा॑, मोल्","ꢱꢸꢭ꣄ꢒꢪ꣄, ꢣꢬꣁ, ꢪꣂꢭ꣄"
கட்டு  ,bundle,கெட்டொ,केट्टा॑,ꢒꢾꢜ꣄ꢜꣁ
கட்டுப்பாடு  ,con trol,நியமொ,नियमा॑,ꢥꢶꢫꢪꣁ
கடற்படை  ,naval force,ஜல ஸேனொ,जल सेना॑,ꢙꢭ ꢱꢿꢥꣁ
கடன்  ,debt,ரீண்,रीण,ꢬꢷꢠ꣄
கடன் பொறுப்பு,liabilities,ரீணுபா4ர்,रीणुभार,ꢬꢷꢠꢸꢩꢵꢬ꣄
கடைநிலை ஊழியர்   ,peon,ஸெவ்கன்,स॑व्कन्,ꢱꢾꢮ꣄ꢒꢥ꣄
கண்காணிப்பு  ,supervision,க3வுஞ்ஜி/க3வுஞ்ஜுனார்/ நிரீக்ஷணொ,"गवुञ्जि, गवुन्जुनार्, निरीकक्षणा॑","ꢔꢮꢸꢛ꣄ꢙꢶ ꢔꢮꢸꢛ꣄ꢙꢸꢥꢵꢬ꣄, ꢥꢶꢬꢷꢰꢠꣁ"
கணக்கர்  ,accountant,லெ:க்கைத்,ल्हेककैत,ꢭꢴꢾꢒꢒꣀꢡ꣄
கணக்கெடுப்பு  ,enumeration,லெ:க்கொ ஹெட்3ணி/ க3ணனொ,"ल्ह॑क्का॑ हेड्णि, गणना॑","ꢭꢴꢾꢒ꣄ꢒꣁ ꢲꢾꢞ꣄ꢠꢶ, ꢔꢠꢥꣁ"
கணினி  ,computer,க3ணிணி/ ஹீஸுநேல்/ லெ:க்கனி,"गणिणि, हीसुनेल, ल्ह॑क्कनि","ꢔꢠꢶꢠꢶ, ꢲꢷꢱꢸꢥꢿꢭ꣄, ꢭꢴꢾꢒ꣄ꢒꢥꢶ"
கதவடைப்பு  ,"bandh, lock-out",ப3ந்து4,बन्धु,ꢨꢥ꣄ꢤꢸ
கருத்து  ,"opinion, idea",அபி4ப்ராயு,अभिप्राय,ꢂꢩꢶꢦ꣄ꢬꢵꢫ
கருதுகோள்  ,assumption,ஊஹொ/ஊஹனொ,"ऊहा॑, ऊहना॑","ꢇꢲꣁ, ꢇꢲꢥꣁ"
கணிப்பான்,calculator,லெ:க்காவ்,ल्ह॑क्काव,ꢭꢴꢾꢒ꣄ꢒꢵꢮ꣄
கருவூலம்  ,treasury,பொக்கிஷம்/ வித்தகோஷ்,"पा॑क्किषम्, वित्तकोष","ꢦꣁꢒ꣄ꢒꢶꢰꢪ꣄, ꢮꢶꢡ꣄ꢡꢒꣂꢰ꣄"
கல்வி அமைச்சர்   ,education minister,வித்3யா மந்த்ரி,विद्या मन्त्रि,ꢮꢶꢣ꣄ꢫꢵ ꢪꢥ꣄ꢡ꣄ꢬꢶ
கல்வித்துறை  ,education department,வித்3யாவிபா4க்3,विद्याविभाग्,ꢮꢶꢣ꣄ꢫꢵ ꢮꢶꢩꢵꢔ꣄
கலப்படம்  ,adulteration,மிஸ்ரணொ,मिस्रणा॑,ꢪꢶꢱ꣄ꢬꢠꣁ
கலப்பினம்  ,"cross-breed, hybrid",மிஸ்ரஜாத்,मिस्तजात्,ꢪꢶꢱ꣄ꢡ ꢙꢵꢡ꣄
கவனக் குறைவு   ,negligence,உதா3ஸீன்/உபேக்ஷொ,"उदासीन, उपेक्षो","ꢆꢣꢵꢱꢷꢥ꣄, ꢆꢦꢾꢒ꣄ꢰꣁ"
கழகம்  , association,ஸபொ4/ஸம்ஸ்தா2ன்,"सभा॑, सम्स्थान","ꢱꢩꣁ, ꢱꢪ꣄ꢱ꣄ꢢꢵꢥ꣄"
கழிவு  ,discount,பி4ட்3ணி,भिड्णि,ꢩꢶꢞ꣄ꢠꢶ
கனிமம்  ,ore,தா4து,धातु,ꢤꢵꢡꢸ
கஜானா  ,treasury,க2ஜானொ,खजाना॑,ꢓꢙꢵꢥꣁ
காசோலை  ,cheque,ஹன்னவு பத்தர்,हन्नवुपत्रर,ꢲꢥ꣄ꢥꢮꢸ ꢦꢡꢡ꣄ꢬ꣄
காப்பிடுதல்  ,insulation,ரக்ஷணகர்னி,रक्षणकर्नि,ꢬꢰꢠꢒꢬ꣄ꢥꢶ
காப்பீடு  ,insurance,ரக்ஷணப4ர்தி,रक्षणभर्ति,ꢬꢰꢠ ꢩꢬ꣄ꢡꢶ
காலாவதி  ,termina tion,முஸினி,मुसिनि,ꢪꢸꢱꢶꢥꢶ
காவல் ஆய்வாளர்   ,police inspector,பொலிஸ்நிரீக்ஷகொ/தா2ணா நிரிக்ஷகொ,"पोलिस्निरीक्षका॑, थाणा निरिक्षका॑","ꢦꣁꢭꢶꢱ꣄ꢥꢶꢬꢷꢒ꣄ꢱꢒꣁ, ꢢꢵꢠꢵ ꢥꢶꢬꢶꢒ꣄ꢰꢒꣁ"
காவல்காரன்  ,watchman,ர:க்கைத்/ ர:க்குவான்,"र्हक्कैत, र्हक्कुवान","ꢬꢴꢒ꣄ꢒꣀꢡ꣄, ꢬꢴꢒ꣄ꢒꢸꢮꢵꢥ꣄"
காவல் துறை  ,police department,தா2ணாவிபா4க்,थाणाविभाक,ꢢꢵꢠꢵꢮꢶꢩꢵꢒ꣄
காவலர்  ,policeman,த2ணய்து,थाणय्तु,ꢢꢠꢫ꣄ꢡꢸ
கிடங்கு  ,godown,கி3ட்3ட3ங்கி3,किड्डङ्कि,ꢒꢶꢞ꣄ꢞꢖ꣄ꢒꢶ
குக்கிராமம்  ,hamlet,ந:ன்பொர்ஸெ/ந:ன் கா3ம்/ ந:ன் பொட்க்யாட்,"न्हन्पा॑र्स॑, न्हन्गाम,     न्हन पा॑ट्क्याट","ꢥꢴꢥꢦꣁꢬ꣄ꢱꢾ, ꢥꢴꢥ꣄ꢔꢵꢪ꣄,  ꢥꢴꢥ꣄ ꢦꣁꢜ꣄ꢒ꣄ꢫꢵꢜ꣄"
குடியரசு  ,"republic, democracy",க3ண தந்த்ரு/ க3ண ராஜ்யு/ ப்ரஜா ப்ரபு4த்வொ,"गण तन्त्रु, गण राज्यु, प्रजा प्रभुत्वा॑","ꢔꢠ ꢡꢥ꣄ꢡ꣄ꢬꢸ, ꢔꢠ ꢬꢵꢙ꣄ꢫꢸ, ꢦ꣄ꢬꢙꢵ ꢦ꣄ꢬꢩꢸꢡ꣄ꢮꣁ"
குடியரசுத் தலைவர்   ,president of the country,ஜனாதிபதி,जनातिपति,ꢙꢥꢵꢡꢶꢦꢡꢶ
குடியுரிமை  ,citizenship,ப்ரஜாபா3த்யு/ நாக3ரிகதொ,"प्रजाबात्यु, नागरिकता॑","ꢦ꣄ꢬꢙꢵ ꢨꢵꢡ꣄ꢫꢸ, ꢥꢵꢔꢬꢶꢒꢡꣁ"
குடும்பக் கட்டுப்பாடு   ,family planning,குடும்ப3நிரோத்4,कुटुम्बनिरोत्,ꢒꢸꢜꢸꢪ꣄ꢨ ꢥꢶꢬꣂꢡ꣄
குடும்ப நலத்துறை   ,family welfare department,குடும்ப க்ஷேம விபா4க்3,कुटुम्प क्षेम विभाग,ꢒꢸꢜꢸꢪ꣄ꢨ ꢒ꣄ꢰꢿꢪ ꢮꢶꢩꢵꢔ꣄
குத்தகை  ,lease,ஒத்தி,आ॑त्ति,ꢏꢡ꣄ꢡꢶ
குமாஸ்தா  ,clerk,கு3மஸ்தொ,गुमस्ता॑,ꢔꢸꢪ꣄ꢱ꣄ꢡꣁ
குழு  ,group,கு3ம்பு,गुम्पु,ꢔꢸꢪ꣄ꢦꢸ
குற்றச்சாட்டு  ,accusation,அபராத்4/சூக் க4ல்னி,"अपराध, चूक्घल्नि","ꢂꢦꢬꢵꢤ꣄, ꢘꢸꢒ꣄ꢕꢭ꣄ꢥꢶ"
குற்றம்  ,"default, fault",அபராத்4,अपराध,ꢂꢦꢬꢵꢤ꣄
குறிகள்  ,signs,சின்ஹுன்/கு3ர்துன்,"चिनहुन, गुर्तुन","ꢗꢶꢥ꣄ꢲꢸꢥ꣄, ꢔꢸꢬ꣄ꢡꢸꢥ꣄ "
குறியீட்டெண்  ,index number,கு3ர்து ஸங்க்2யொ,सिन्तु सङ्ख्या॑,ꢱꢶꢥ꣄ꢡꢸꢱꢖ꣄ꢓ꣄ꢫꣁ
குறியீடு  ,"index, code",சின்ஹு/ கு3ர்து,"सिन्हु, गुर्तु","ꢱꢶꢥ꣄ꢲꢸ, ꢔꢸꢬ꣄ꢡꢸ"
குறைந்தபட்சம்,minimum,உன்ன பொடெ3யொ/ உன்ன பக்ஷு,"उन्न पा॑ड॑या॑,   उन्न पक्षु","ꢆꢥ꣄ꢥ ꢦꣁꢞꢾꢫꣁ, ꢆꢥ꣄ꢥ ꢦꢒ꣄ꢯꢸ"
கூட்டணி  ,front (political),பக்ஷ ஐக்யதொ,पक्ष ऐक्यता॑,ꢦꢒ꣄ꢯ ꢎꢒ꣄ꢫꢡꣁ
கூட்டம்  ,crowd,மூகொ3/கு3ம்பு/மிள்னி/மிள்ணி,"मूगा॑, गुम्पु, मिळ्नि, मिळ्णि","ꢪꢹꢔꣁ,ꢔꢸꢪ꣄ꢦꢸꢪꢶꢳ꣄ꢥꢶ, ꢪꢶꢳ꣄꣄ꢠꢶ"
கேட்பு  ,demand,மகி3னி,मगिनि,ꢪꢔꢶꢥꢶ
கேளிக்கை  ,entertainment,கே2ளு க்ரியொ/ மனோரஞ்ஜன்,"खेलु क्रिया॑, मनोरञ꣄जन","ꢓꢿꢭꢸ ꢒ꣄ꢬꢶꢫꣁ, ꢪꢥꣂꢬꢛ꣄ꢙꢥ꣄"
கைத்தறி  ,handloom,ஹாதுமகொ3,हातु मगा॑,ꢲꢵꢡꢸ ꣄ꢪꢔꣁ
கைதி  ,prisoner,ப3ந்தி3,भन्दि,ꢩꢥ꣄ꢣꢶ
கையாடல்  ,misappropriation,து3ஷ்ப்ரயோக்3,तुष्प्रयोग,ꢡꢸꢰ꣄ ꢦ꣄ꢬꢫꣂꢔ꣄
,,"லெஞ்சம், பி3வ்ஜட்","ल॑ञ्जम्, बिव्जड्",ꢭꢾꢛ꣄ꢙꢪ꣄ ꢨꢶꢮ꣄ꢙꢞ꣄
கையேடு  ,handbook,ஹாதுபொதி,हातुपा॑ति,ꢲꢵꢡꢸꢦꣁꢡꢶ
கொத்தடிமை  ,bonded labour,ரீணுப3ந்தி3,रीणुबन्दि,ꢬꢷꢠꢸꢨꢥ꣄ꢣꢶ
கொடி  ,flag,தொ4ஜ்,धा॑ज,ꢤꣁꢙ꣄
கொடிமரம்  ,flag post,தொ4ஜ ஸ்த2ம்பு3,धा॑ज स्थम्बु,ꢤꣁꢙ ꢱ꣄ꢢꢪ꣄ꢨꢸ
கொள்கை  ,policy,லக்ஷ்யு/த்4யேயு,"लक्ष्यु, ध्येयु","ꢭꢒ꣄ꢰ꣄ꢫꢸ, ꢤ꣄ꢫꢿꢫꢸ"
கோட்டம்  ,division (land),விபா4க்3,विभाग,ꢮꢶꢩꢵꢔ꣄
கோட்டை  ,fort,து3ருக்3,दुरुग्,ꢣꢸꢬꢸꢔ꣄
கோட்பாடு  ,policy,நியமொ/ஸித்3தா3ந்து,"नियमा॑, सिद्दान्तु","ꢥꢶꢫꢪꣁ, ꢱꢶꢣ꣄ꢣꢵꢥ꣄ꢡꢸ"
கோணம்  ,angle,கோண்/கொனொ/ த்3ருஷ்டிகோண்,"कोण, का॑ना॑, द्रुष्टिकोण","ꢒꣂꢠ꣄, ꢒꣁꢥꣁ, ꢣ꣄ꢬꢸꢰ꣄ꢜꢶꢒꣂꢠ꣄"
கோப்பு  ,file,பொமட்,पा॑मट,ꢦꣁꢪꢜ꣄
கோரிக்கை  ,"demand, requisition",மகி3னி/கொரி,"मगिनि, का॑रि","ꢪꢒꢶꢥꢶ, ꢒꣁꢬꢶ"
கோஷ்டி  ,group,வர்கு3/கோ3ஷ்டி,"वर्गु, गोष्टि","ꢮꢬ꣄ꢔꢸ, ꢔꣂꢰ꣄ꢜꢶ"
சக்கரவர்த்தி  ,emperor,சக்ரவர்த்தி,चक्रवर्त्ति,ꢗꢒ꣄ꢬꢮꢬ꣄ꢡ꣄ꢡꢶ
சகோதரத்துவம்  ,brotherhood,பை4-பெ4ய்னனுபன்,भै-भेय्ननुपन,ꢩꣀ-ꢩꢾꢫ꣄ꢥꢥꢸꢦꢥ꣄
சங்கம்  ,association,ஸங்க3ம்/ ஸங்கொ4/ஸபொ4,"सङ्गम्, सङ्घा॑, सभा॑","ꢱꢖ꣄ꢔꢪ꣄, ꢱꢖ꣄ꢕꣁ, ꢱꢩꣁ"
சட்டசபை  ,legisla tive assembly,ஸட்டஸபொ4/விதா4ன் ஸௌதொ4/ விதா4னு ஸௌதொ4/விதா4ன் ஸபொ4,"सट्टसभा॑,     विधान सैधा॑, विधानु सौधा॑, विधान सभा॑","ꢱꢜ꣄ꢜꢱꢩꣁ, ꢮꢶꢤꢵꢥ꣄ ꢱꣃꢤꣁ, ꢮꢶꢤꢵꢥꢸ ꢱꣃꢤꣁ, ꢮꢶꢤꢵꢥ꣄ ꢱꢩꣁ"
சட்டத்திருத்தம்  ,amendment,ஸாஸனமர்சினி/ ஸாஸன தித்3துவளி/ ஸாஸன ஸுதா4ர்,"सासनमर्चिनि, सासन तिद्तुवळि, सासन सुधार","ꢱꢵꢱꢥꢪꢬ꣄ꢗꢶꢥꢶ, ꢱꢵꢱꢥ ꢡꢶꢣ꣄ꢡꢸꢮꢳꢶꢶ, ꢱꢵꢱꢥ ꢱꢹꢤꢵꢬ꣄"
சட்டம்  ,"act, law",ஸாஸனொ/விதா4ன்,"सासना॑, विधान","ꢱꢵꢱꢥꣁ, ꢮꢶꢤꢵꢥ꣄"
சட்டமன்றம்  ,le gislative assembly,ஸட்டஸபொ4,सट्टसभा॑,ꢱꢜ꣄ꢜꢱ꣄ꢩꣁ
சத்தியாக்கிரகம்  ,"satyagraha, protest",ஸத்யாக்3ரஹொ,सत्याग्रहा॑,ꢱꢡ꣄ꢫꢵꢔ꣄ꢬꢲꣁ
சத்திரம்  ,choultry,ஸெத்தர்/,स॑त्तर्,ꢱꢾꢡ꣄ꢡꢬ꣄
சதி  ,conspiracy,ஸதி,सति,ꢱꢡꢶ
சபாநாயகர்  ,assembly speaker,ஸபா4நாயகொ,सभानायका॑,ꢱꢩꢵꢥꢵꢫꢒꣁ
சம்பள உயர்வு   ,pay raise,ஸொம்பு3ளாசெட்னி,सा॑म्पुळाच॑ट्नि,ꢱꣁꢪ꣄ꢦꢸꢳꢵ ꢗꢾꢜ꣄ꢥꢶ
சம்பளம்  ,salary,ஸொம்பு3ளொ/பகா3ர்,"सा॑म्बुळा॑, पगार","ꢱꣁꢪ꣄ꢨꢸꢳꣁ, ꢦꢔꢵꢬ꣄"
சமத்துவம்  ,equality,ஸமானுபன்,समानुपन,ꢱꢪꢵꢥꢸꢦꢥ꣄
சமாதானம்  ,peace,ஸமாதா4ன்,समादान्,ꢱꢵꢪꢵꢣꢵꢥ꣄
சமுதாயம் / சமூகம்  ,society,ஸமுதா3ய்/ஸமூஹு,"समुदाय, समूहु","ꢱꢪꢸꢣꢵꢫ꣄, ꢱꢪꢹꢲꢸ"
சர்வாதிகாரம்,dictatorship,ஸர்வாதி4கார்,सर्वाधिकार्,ꢱꢬ꣄ꢮꢵꢤꢶꢒꢵꢬ꣄
சர்வாதிகாரி,dictator,ஸர்வாதி4காரி,सर्वाधिकारि,ꢱꢬ꣄ꢮꢵꢤꢶꢒꢵꢬꢶ
சராசரி  ,average,ரமாரமி,रमारमि,ꢬꢪꢵꢬꢪꢶ
சலுகை  ,concession,ஸெல்கெ/ஸஹாவு,"स॑ल्क॑, सहावु","ꢱꢾꢭ꣄ꢒꢾ, ꢱꢲꢵꢮꢸ"
சாதனை  ,achievement,ஸாத4னொ/ உபலப்3தி4/லபி3ஞ்சினி,"साधना॑, उपलब्धि, लबिञ्चिनि","ꢱꢵꢤꢥꣁ, ꢆꢦꢭꢨ꣄ꢤꢶ, ꢭꢨꢶꢛ꣄ꢗꢶꢥꢶ"
சிக்கல்  ,problem,ஸமஸ்யொ/ப்ரஸ்னொ/,"समस्या॑, प्रस्ना॑","ꢱꢪ꣄ꢱ꣄ꢫꣁ, ꢦ꣄ꢬꢱ꣄ꢥꣁ"
சிக்கனம்  ,"economy, thrift",உன்னவேஸ்/ ஸொட்டு,"उन्नवेस्, सा॑ट्टु","ꢆꢥ꣄ꢥꢮꢿꢱ꣄, ꢱꣁꢜ꣄ꢜꢸ"
சிதைவு  ,decay,விகார்/நஸினம்/ஸிதில்,"विकार, नसिनम, सितिल","ꢮꢶꢒꢵꢬ꣄, ꢥꢱꢶꢥꢪ꣄, ꢱꢶꢡꢶꢭ꣄"
சிபாரிசு  ,recommendation,ஸுப3ர்சி,सुबर्चि,ꢱꢸꢨꢬ꣄ꢗꢶ
சிம்மாசனம்  ,throne,ஸிம்ஹாஸனொ/ஸிம்ஹு ஆஸனொ,"सिम्हासना॑, सिम्हु आसना॑","ꢱꢶꢪ꣄ꢲꢵꢱꢥꣁ, ꢱꢶꢪ꣄ꢲꢹ ꢃꢱꢥꣁ"
சிறுபான்மை  ,minority,அல்ப ஸங்க2யொ,अल्प सङ्खया॑,ꢂꢭ꣄ꢦ ꢱꢖ꣄ꢓꢫꣁ
சிறுவழக்கு,petty case,ந:ன்தா3வொ,न्हन्न दावा॑,ꢥꢴꢥ꣄ꢥ ꢣꢵꢮꣁ
சிறை  ,"jail, prison",காராக்3ரஹு/ஜெயில்,"काराग्रहु, ज॑यिल","ꢒꢵꢬꢵꢔ꣄ꢬꢆ, ꢙꢾꢫꢶꢭ꣄"
சின்னம்  ,symbol,முத்3ரொ/சின்ஹு,"मुद्रा॑, चिन्हु","ꢪꢸꢣ꣄ꢬꣁ, ꢗꢶꢥ꣄ꢲꢸ"
வாக்குசீட்டு  ,ballot,வாக்கு சீட்,वाक्कुचीट,ꢮꢵꢒ꣄ꢒꢸꢗꢷꢜ꣄
சீர்திருத்தம்  ,reformation,ஸுகர்ணி/ஸுதா4ர்,"सूकर्णि, सुधार","ꢱꢸꢒꢬ꣄ꢠꢶ, ꢱꢸꢤꢵꢬ꣄"
சீருடை  ,uniform,ஸமரூப வஸ்தர்,समरूप वस्तर,ꢱꢪꢬꢹꢦ ꢮꢱ꣄ꢡꢬ꣄
சுங்கவரி  ,excise duty,ஸுல்கம்/ஸுல்கொ,"सुल्कम्, सुल्का॑","ꢱꢸꢭ꣄ꢒꢪ꣄, ꢱꢸꢭ꣄ꢒꣁ"
சுதந்திரம்  ,freedom,ஸுதந்த்3ரு,सुतन्द्रु,ꢱꢸꢡꢥ꣄ꢣꢬꢸ
சுரண்டல் ,exploitation,து3ஷ்ப்ரயோக்,दुष्प्रयोक,ꢣꢸꢰ꣄ꢦ꣄ꢬꢫꣁꢒ꣄
சுருக்கம்  ,abridgement,ஸங்க்க்ஷேபு,सङ्क्क्षेपु,ꢱꢖ꣄ꢒ꣄ꢯꢾꢦꢸ
சுவரொட்டி  ,wall-poster,பீ4துர் தெ3வ்ஸினி,भीतुर् द॑व्सिनि,ꢩꢷꢡꢸꢬ꣄ ꢣꢾꢮ꣄ꢱꢶꢥꢶ
சுற்றிக்கை  ,circular,சுட்டுர் களட்3ணி/ பரிபத்தர்,"चुट्टुर् कळड्णि, परिपत्तर","ꢗꢸꢜ꣄ꢜꢸꢬ꣄ ꢒꢳꢞ꣄ꢠꢶ, ꢦꢬꢶꢦꢡ꣄ꢡꢬ꣄"
செப்பனிடுதல்  ,repair,மராமத்து/ஸுத4ரணொ/சம்ஸ்கரணொ,"मरमत्तु, सुधरणा॑, चम्स्करणा॑","ꢪꢬꢵꢪꢡ꣄ꢡꢸ, ꢱꢸꢤꢬꢠꣁ, ꢗꢪ꣄ꢱ꣄ꢒꢬꢠꣁ"
செய்தித்துறை  ,information department,ஸூசன விபா4க்3/ ஸமாச்சாரு விபா4க்3,"सूचन विभाग, समाच्चारु विभाग","ꢱꢹꢗꢥ ꢮꢶꢩꢵꢔ꣄, ꢱꢪꢵꢗ꣄ꢗꢵꢬꢸ ꢮꢶꢩꢵꢔ꣄"
செயலகம்  ,secretariate,ஸசிவாலயொ,सचिवालया॑,ꢱꢗꢶꢮꢵꢭꢫꣁ
செயலர்  ,secretary,கார்யத3ர்ஸி,कार्यदर्सि,ꢒꢵꢬ꣄ꢫꢣꢬ꣄ꢱꢶ
செயலாளர்  ,secretary,கார்யத3ர்ஸி,कार्यदर्सि,ꢒꢵꢬ꣄ꢫꢣꢬ꣄ꢱꢶ
செல்வாக்கு  ,influence,ப்ரபா4வ்,प्रभाव्,ꢨ꣄ꢬꢩꢵꢮ꣄
செலவினம்  , items of expenditure,வேஸுன்,वेसुन्,ꢮꢿꢱꢸꢥ꣄
செலவு  ,expenditure,வேஸ்,वेस,ꢮꢿꢱ
செறிவு  ,intensity,தெ3ட்டு,देट्टु,ꢣꢾꢜ꣄ꢜꢸ
சேதம்  ,damage,க்ஷதி,क्षति,ꢒ꣄ꢯꢡꢶ
சேதாரம்,spoilage,சேதாரம்,सेतारम्,ꢱꢿꢡꢵꢬꢪ꣄
சேமிப்பு  ,savings,உராவ்,उराव,ꢆꢬꢵꢮ
சேனாதிபதி  ,army chief,ஸேனாதி4பதி,सेनाधिपति,ꢱꢿꢥꢵꢤꢶꢦꢡꢶ
சைகை  ,signal,ஸய்கனொ/ ஸமிஜ்ஞொ,"सय्कना॑, समिज्ना॑","ꢱꢫ꣄ꢒꢥꣁ, ꢱꢪꢶꢙ꣄ꢛꢸ"
சொத்து  ,assets,ஸொத்து,सा॑त्तु,ꢱꣁꢡ꣄ꢡꢸ
தகராறு  ,dispute,விவாத்/தெகு3ரால்,"विवात, त॑गुराल","ꢮꢶꢮꢵꢡ꣄, ꢡꢾꢔꢸꢬꢵꢭ꣄"
தகுதி  ,"qualification, eligibility",யோக்3யதொ/ லாகி3தொ,"योग्यता॑, लागिता॑","ꢫꣂꢔ꣄ꢫꢡꣁ, ꢭꢵꢔꢶꢡꣁ"
தட்டெழுத்தர்  ,typist,டங்கணகர்தொ,टङकणकर्ता॑,ꢜꢖ꣄ꢒꢠꢒꢬ꣄ꢡꣁ
தடம்  ,route,மார்கு3,मार्गु,ꢪꢵꢬ꣄ꢔꢸ
தடைகள்  ,obstacles,அட்3ட3முன்/அட்3டி3ன்/பா3தா4ன்,"अड्डामुन, अड्डिन, बाधान","ꢃꢞ꣄ꢞꢪꢸꢥ꣄, ꢂꢞ꣄ꢞꢶꢥ꣄, ꢨꢵꢤꢵꢥ꣄"
தண்டம்  ,"fine, penalty",த3ண்ட3ணொ,दण्डणा॑,ꢣꢠ꣄ꢞꢠꣁ
தண்டனை  ,punishment,த3ண்ட3ணொ,दण्डणा॑,ꢣꢠ꣄ꢞꢠꣁ
தணிக்கை  ,audit,ஸெர்கர:னி/லெக்2கொ/ லெ:க்கா நிரீக்ஷனொ/லெ:க்கா ஸோத4னொ/,"स॑र्करनि, ल॑ख्का॑, ल्ह॑क्का निरीक्षणा॑, ल्ह॑क्का सोधना॑","ꢱꢾꢬ꣄ꢒꢬꢥꢶ, ꢭꢾꢓ꣄ꢒꣁ, ꢭꢴꢾꢒ꣄ꢒꢵ ꢥꢶꢬꢷꢒ꣄ꢰꢠꣁ, ꢭꢴꢾꢒ꣄ꢒꢵ ꢱꣂꢤꢥꣁ"
,,து3ர்லிகி2னி,दूर्लिखिनि,ꢣꢹꢬ꣄ ꢭꢶꢓꢶꢥꢶ
தரகு  ,brokerage,தெரகு ஹன்னவ்,तेरकु हन्नव,ꢡꢾꢬꢒꢸ ꢲꢥ꣄ꢥꢮ꣄
தரப்பினர்  ,parties,பக்ஷவானுன்,पक्षवानुन,ꢦꢒꢰꢮꢵꢥꢸꢥ꣄
தரம்  ,"grade, standard",ஸ்ரேணி/உந்நதி,"स्रेणि, उन्नति","ꢱ꣄ꢬꢿꢠꢶ, ꢆꢥ꣄ꢥꢡꢶ"
