ꢂꢖ꣄ꢔꢸꢱꣁ,अङ्गुसा॑,அங்கு3ஸொ,anguso',aGgusO,aṅgusŏ,əŋgus̪o,iron rod of mahout,அங்குசம்  
ꢪꢔꣁ,मगा॑,மகொ3,mago',magO,magŏ,məgo,loom,தறி  
ꢒꢸꢱ꣄ꢒꢥ꣄ꢓꢜ꣄ꢜꢶ,कुस्कन्खट्टि,குஸ்கன்க2ட்டி,kuskankhat't'i,kuskankhaTTi,kuskankhaṭṭi,kus̪kən̪kʰəʈʈɪ,spur,தார்க்குச்சி  
ꢣꢶꢒ꣄ꢒꢸ ꢣꢾꢒ꣄ꢒꢞꢵꢮ꣄,दिक्कु द॑क्कडाव,தி3க்கு தெ3க்கடா3வ்,dikku de'kkad'aav,dikku dEkkaDAv,dikku dĕkkaḍāv,d̪ɪkku d̪ekkəɖɑːʋ,compass,திசைக்காட்டும் கருவி    
ꢣꢶꢒ꣄ꢒꢸ ꢣꢬ꣄ꢱꢶꢥꢶ,दिक्कु दर्सिनि,தி3க்கு த3ர்ஸினி,dikku darsini,dikku darsini,dikku darsini,d̪ɪkku d̪əɾs̪ɪn̪ɪ,compass,திசைக்காட்டும் கருவி    
ꢣꢶꢒ꣄ꢒꢸ ꢱꢹꢗꢥꢶ,दिक्कु सूचनि,தி3க்கு ஸூசனி,dikku soochani,dikku sUcani,dikku sūcani,d̪ɪkku s̪uːt͡ʃən̪ɪ,compass,திசைக்காட்டும் கருவி    
ꢩꢶꢒꢸꢖ꣄ꢗꢸꢥꢵꢮ꣄,भिकुञ्च्नाव,பி4குஞ்சுனாவ்,bhikungchunaav,bhikuGcunAv,bhikuṅcunāv,bʰɪkuŋt͡ʃun̪ɑːʋ,screw driver,திருப்புளி  
ꢥꢮ꣄ꢒꢵ ꢣꢠ꣄ꢞꢸ,नव्का द्ण्डु,நவ்கா த3ண்டு3,navkaa dand'u,navkA daNDu,navkā daṇḍu,n̪əʋkɑː d̪əɳɖu,oar,துடுப்பு  
ꢥꢮ꣄ꢣꢠ꣄ꢞꢸ,नव्दण्डु,நவ்த3ண்டு3,navdand'u,navdaNDu,navdaṇḍu,n̪əʋd̪əɳɖu,oar,துடுப்பு  
ꢦꣁꢱ꣄ꢥꢵꢮ꣄,पा॑स्नाव,பொஸ்னாவ்,po'snaav,pOsnAv,pŏsnāv,pos̪n̪ɑːʋ,duster,துடைப்பான்  
ꢧꢸꢮ꣄ꢥꣁ,फुव्ना॑,பு2வ்னொ,phuvno',phuvnO,phuvnŏ,pʰuʋn̪o,blower,துருத்தி  
ꢧꢸꢮ꣄ꢥꢵꢮ꣄,फुव्नाव,பு2வ்னாவ்,phuvnaav,phuvnAv,phuvnāv,pʰuʋn̪ɑːʋ,blower,துருத்தி  
ꢦꢸꢜ꣄ꢜꢵ ꢲꢷꢬ꣄,पुट्टा हीर,புட்டா ஹீர்,put't'aa heer,puTTA hIr,puṭṭā hīr,puʈʈɑː ɦiːɾ,borewell,துளைக்கிணறு  
ꢦꢸꢜ꣄ꢜꣁ ꢡꢔꢱ꣄ꢡꢾ,पुट्टा॑ तगस्ते,புட்டொ தக3ஸ்தே,put't'o' tagaste',puTTO tagastE,puṭṭŏ tagastĕ,puʈʈo t̪əgəs̪t̪e,drilling,துளையிடுதல்  
ꢡꢸꢒ꣄ꢒꢥ꣄ ꢌꢥ꣄ꢡꢸꢬ,तुक्कन् एन्तुर,துக்கன்எந்துர்,tukkan e'ntura,tukkan Entura,tukkan ĕntura,t̪ukkən̪ en̪t̪uɾə,crane,தூக்கி  
ꢣꢹꢒ꣄ꢒꢸꢣꣂꢬ꣄,दूक्कुदोर,தூக்குதோ3ர்,dookkudor,dUkkudor,dūkkudor,d̪uːkkud̪oːɾ,execution rope,தூக்குக்கயிறு  
ꢡꢹꢒ꣄ꢒꢸ ꢪꢶꢜ꣄ꢜꣁ,तूक्कु मिट्टा॑,தூக்கு  மிட்டொ,tookku mit't'o',tUkku miTTO,tūkku miṭṭŏ,t̪uːkku mɪʈʈo,gallows,தூக்குமேடை  
ꢪꢴꢳꢶ ꢤꢾꢬ꣄ꢥꢵꢮ꣄,म्हळि ध॑र्नाव,ம:ளி தெ4ர்னாவ்,mhal'i dhe'rnaav,mhaLi dhErnAv,mhal̤i dhĕrnāv,mɦəɭɪ d̪ʰeɾn̪ɑːʋ,fishing rod,தூண்டில்  
ꢦꢸꢬꢸꢱ꣄,पुरुस्,புருஸ்,purus,purus,purus,puɾus̪,,
ꢒꢸꢗ꣄ꢗꢥ꣄,कुच्चन्,குச்சன்,kuchchan,kuccan,kuccan,kut͡ʃt͡ʃən̪,,
ꢪꣀꢪꢲꢶ ꢲꣁꢮ꣄ꢞꢶꢠꢶ,मैमहि हा॑व्डिणि,மைமஹி ஹொவ்டி3ணி,maimahi ho'vd'ini,maimahi hOvDiNi,maimahi hŏvḍiṇi,məɪməɦɪ ɦoʋɖɪɳɪ,bee keeping,தேனி வளர்ப்பு   
ꢱꢷꢮ꣄,सीव,ஸீவ்,seev,sIv,sīv,s̪iːʋ,stitch,தையல்போடு
ꢱꢶꢪ꣄ꢦꢶ,सिम्प,ஸிம்பி,simpi,simpi,simpi,s̪ɪmpɪ,tailor (m),தையல்காரன்   
ꢱꢸꢪ꣄ꢦꢶꢥꢶ,सिम्पिनि,ஸிம்பினி,sumpini,sumpini,sumpini,s̪umpɪn̪ɪ,tailor (f),தையல்காரி   
ꢱꢶꢮ꣄ꢥꢶ ꢫꢥ꣄ꢡꢸꢬ꣄,सिव्नि यन्तुर,ஸிவ்னியந்துர்,sivni yantur,sivni yantur,sivni yantur,s̪ɪʋn̪ɪ jən̪t̪uɾ,sewing machine,தையல்பொறி   
ꢆꢣ꣄ꢫꣂꢔ꣄,उद्योग,உத்3யோக்3,udyog,udyog,udyog,ud̪joːg,Profession/ labour,தொழில்  
ꢆꢣ꣄ꢫꣂꢔꢶ,उद्योगि,உத்3யோகி3,udyogi,udyogi,udyogi,ud̪joːgɪ,Profession/ labour,தொழில்  
ꢭꢵꢥꢸꢮꢵꢥ꣄,लानुवान्,லானுவான்,laanuvaan,lAnuvAn,lānuvān,lɑːn̪uʋɑːn̪,gardener,தோட்டக்காரன்  
ꢭꢵꢥ꣄,लान,லான்,laan,lAn,lān,lɑːn̪,garden,தோட்டம்  
ꢏꢞ꣄ꢞꢾ,आ॑ड्ड॑,ஒட்3டெ3,o'd'd'e',ODDE,ŏḍḍĕ,oɖɖe,scavenger,தோட்டி  
ꢱꢸꢣ꣄ꢤꢶ ꢒꢾꢬ꣄ꢥꢵꢬ꣄,सुद्धि क॑र्नार,ஸுத்3தி4 கெர்னார்,suddhi ke'rnaar,suddhi kErnAr,suddhi kĕrnār,s̪ud̪d̪ʰɪ keɾn̪ɑːɾ,scavenger,தோட்டி  
ꢣꣂꢠꢶ,दोणि,தோ3ணி,doni,doNi,doṇi,d̪oːɳɪ,ferry,தோணி  
ꢒꢾꢰꢥ꣄,क॑षण्,கெஷண்,ke'shan,kESan,kĕṣan,keʂən̪,leather,தோல்  
ꢱꣁꢥ꣄ꢥꢵꢮꢠꢶꢒ꣄,सा॑न्नावणिक,ஸொன்னாவணிக்,so'nnaavanik,sOnnAvaNik,sŏnnāvaṇik,s̪on̪n̪ɑːʋəɳɪk,jeweler,நகைவியாபாரி  
ꢱ꣄ꢢ꣄ꢬꢶꢒꢾꢬꢥ꣄ ꢆꢦꢒꢬꢠꣁ,स्थरिकेरन उपकरणा॑,ஸ்த்2ரிகெரன் உபகரணொ,sthrike'ran upakarano',sthrikEran upakaraNO,sthrikĕran upakaraṇŏ,s̪t̪ʰɾɪkeɾən̪ upəkəɾəɳo,anchor,நங்கூரம்  
ꢗꢭ꣄ꢡꢒꢬꢥ꣄ꢮꢵꢥ꣄,चल्तकरन्वान्,சல்தகரன்வான்,chaltakaranvaan,caltakaranvAn,caltakaranvān,t͡ʃəlt̪əkəɾən̪ʋɑːn̪,conductor,நடத்துநர்  
ꢕꢭ꣄ꢥꢶ,घल्नि,க4ல்னி,ghalni,ghalni,ghalni,gʰəln̪ɪ,planting crops,நடவு  
ꢥꢵꢗ꣄ꢮꢵꢥ꣄,नाच्वान्,நாச்வான்,naachvaan,nAcvAn,nācvān,n̪ɑːt͡ʃʋɑːn̪,dancer (m),நடனக்காரன்  
ꢥꢜꢥꢵꢳꢶ,नटनाळि,நடனாளி,nat'anaal'i,naTanALi,naṭanāl̤i,n̪əʈən̪ɑːɭɪ,dancer (f),நடனக்காரி  
ꢥꢗ꣄ꢮꣁ,नच्वा॑,நச்வொ,nachvo',nacvO,nacvŏ,n̪ət͡ʃʋo,actor,நடிகன்  
ꢥꢜꢶ,नटि,நடி,nat'i,naTi,naṭi,n̪əʈɪ,actor,நடிகன்  
ꢥꢗ꣄ꢮꢶ,न्च्वि,நச்வி,nachvi,nacvi,nacvi,n̪ət͡ʃʋɪ,actress,நடிகை  
ꢥꢜꢶꢒꣁ,नटिका॑,நடிகொ,nat'iko',naTikO,naṭikŏ,n̪əʈɪko,actress,நடிகை  
ꢩꢵꢮꢥꣁ,भावना॑,பா4வனொ,bhaavano',bhAvanO,bhāvanŏ,bʰɑːʋən̪o,action,நடிப்பு  
ꢩꢵꢮꢥꣁ,भावना॑,,bhaavano',bhAvanO,bhāvanŏ,bʰɑːʋən̪o,action,நடிப்பு  
ꢥꢬ꣄ꢡ꣄ꢡꢒꣁ,नर्त्तका॑,நர்தகொ,narttako',narttakO,narttakŏ,n̪əɾt̪t̪əko,dancer (m),நர்த்தகன் / நாட்டியகாரன்
ꢥꢬ꣄ꢡ꣄ꢡꢒꢶ,नर्त्तकि,நர்தகி,narttaki,narttaki,narttaki,n̪əɾt̪t̪əkɪ,dancer (f),நர்த்தகி/ நாட்டியகாரி
ꢥꢮꢗꢵꢬ꣄,नवचार,நவசார்,navachaar,navacAr,navacār,n̪əʋət͡ʃɑːɾ,ammonia,நவச்சாரம்  
ꢥꢜ꣄ꢒꢪ꣄ꢒꢾꢬꢶ,न्ट्कम्केरि,நட்கம்கெரி,nat'kamke'ri,naTkamkEri,naṭkamkĕri,n̪əʈkəmkeɾɪ,drama actor,நாடகக்காரன்  
ꢥꢜ꣄ꢒꢪ꣄ ꢂꢳꢶ,नट्कमु अळि,நட்கமுஅளி,nat'kam al'i,naTkam aLi,naṭkam al̤i,n̪əʈkəm əɭɪ,drama actress,நாடகக்காரி  
ꢥꢮ꣄ꢒꣁ,नका॑,நவ்கொ,navko',navkO,navkŏ,n̪əʋko,Barge/yacht,நாவாய்  
ꢱꢱ꣄ꢫꢬꣁꢲꢥ ꢬꢾꢪ꣄,सस्यरोहन रेम,ஸஸ்யரோஹன ரேம் ,sasyaro'hana re'm,sasyarOhana rEm,sasyarŏhana rĕm,s̪əs̪jəɾoɦən̪ə ɾem,plantnursery,நாற்றங்கால்  
ꢥꢶꢬ꣄ꢮꢵꢲꢶ,निर्वाहि,நிர்வாஹி,nirvaahi,nirvAhi,nirvāhi,n̪ɪɾʋɑːɦɪ,administrator,நிர்வாகி  
ꢓꣁꢳ꣄꣄ꢗꢾ,खा॑ळ्च॑,கொ2ள்செ,kho'l'che',khOLcE,khŏl̤cĕ,kʰoɭt͡ʃe,coal,நிலக்கரி  
ꢦꢵꢱꢥꣁ,पासना॑,பாஸனொ,paasano',pAsanO,pāsanŏ,pɑːs̪ən̪o,irrigation,நீர்ப்பாசனம்  
ꢦꢥꢶ ꢱꢶꢛ꣄ꢗꢥꣁ,पनि सिञ्चना॑,பனி ஸிஞ்சனொ,pani sinchano',pani siJcanO,pani siñcanŏ,pən̪ɪ s̪ɪɲt͡ʃən̪o,irrigation,நீர்ப்பாசனம்  
ꢆꢱ꣄ꢦꢸꢮꢵꢮ꣄,उस्पुवाव,உஸ்புவாவ்,uspuvaav,uspuvAv,uspuvāv,us̪puʋɑːʋ,pump,நீரேற்றி  
ꢫꣁꢒ꣄ ꢩꢥ꣄ꢣꢥꣁ,योक भन्दना॑,யோக் ப4ந்த3னொ,yo'k bhandano',yOk bhandanO,yŏk bhandanŏ,jok bʰən̪d̪ən̪o,yoke,நுகத்தடி
ꢥꢔꣁ,नगा॑,நகொ3,nago',nagO,nagŏ,n̪əgo,yoke,நுகத்தடி
ꢡꢵꢒ꣄,ताक्,தாக்,taak,tAk,tāk,t̪ɑːk,thread,நூல்  
ꢣꣁꢬꢶ,दा॑रि,தொ3ரி,do'ri,dOri,dŏri,d̪oɾɪ,thread,நூல்  
ꢒꢣꢸꢥꢵꢬ꣄,क्दुनार,கது3னார்,kadunaar,kadunAr,kadunār,kəd̪un̪ɑːɾ,spinner,நூற்பவர்
ꢒꢣꢱ꣄ꢡꢾ,कदस्ते,கத3ஸ்தே,kadaste',kadastE,kadastĕ,kəd̪əs̪t̪e,spinning,நூற்பு  
ꢮꢶꢥ꣄ꢒꢬ꣄,विन्कर,வின்கர்,vinkar,vinkar,vinkar,ʋɪn̪kəɾ,weaver,நெசவாளி  
ꢮꢶꢥꢱ꣄ꢡꢾ,विनते,வினஸ்தே,vinaste',vinastE,vinastĕ,ʋɪn̪əs̪t̪e,weaving,நெசவு  
ꢆꢒ꣄ꢒꢶꢱꣁꢠ꣄ꢠꢶ,तुक्किसा॑ण्णि,துக்கிஸொண்ணி,ukkiso'nni,ukkisONNi,ukkisŏṇṇi,ukkɪs̪oɳɳɪ,lever,நெம்புகோல்  
ꢆꢡ꣄ꢡꣂꢭꢒꣁ,उत्तोलका॑,உத்தோலகொ,uttolako',uttolakO,uttolakŏ,ut̪t̪oːləko,lever,நெம்புகோல்  
ꢦꣁꢜ꣄ꢜꢾꢜ꣄,पा॑ट्ट॑ट,பொட்டெட்,po't't'e't',pOTTET,pŏṭṭĕṭ,poʈʈeʈ,workshop,பட்டறை / பணிமனை  
ꢒꢵꢪꢸ ꢱ꣄ꢢꢭ꣄,कामु स्थल,காமு ஸ்த2ல்,kaamu sthal,kAmu sthal,kāmu sthal,kɑːmu s̪t̪ʰəl,workshop,பட்டறை / பணிமனை  
ꢒꢵꢪꢸ ꢢꢵꢪ꣄,कामु थाम,காமு தா2ம்,kaamu thaam,kAmu thAm,kāmu thām,kɑːmu t̪ʰɑːm,workshop,பட்டறை / பணிமனை  
ꢦꢛBꢗꢭ꣄,पञ्चल्,பஞ்சல்,panyaBchal,paJaBcal,pañaBcal,pəɲəBt͡ʃəl,boat,படகு  
ꢙꢷꢮꢵꢯ꣄ꢪꣁ,जीवाश्मा॑,ஜீவாஶ்மொ,jeevaashmo',jIvAzmO,jīvāśmŏ,d͡ʒiːʋɑːʃmo,fossil,படிமம்  
ꢱꢶꢭꢵꢤꢵꢡꢸ,सिलाधात,ஸிலா தா4து,silaadhaatu,silAdhAtu,silādhātu,s̪ɪlɑːd̪ʰɑːt̪u,fossil,படிமம்  
ꢦꢡ꣄ꢬꢸ,पत्रु,பத்ரு,patru,patru,patru,pət̪ɾu,form,படிவம்  
ꢱꢵꢭꣁ,साला॑,ஸாலொ,saalo',sAlO,sālŏ,s̪ɑːlo,farm,பண்ணை  
ꢒꢵꢪ꣄,काम्,காம்,kaam,kAm,kām,kɑːm,work,பணி  
ꢒꢵꢪ꣄ꢢꢵꢪ꣄,काम्थाम्,காம்தா2ம்,kaamthaam,kAmthAm,kāmthām,kɑːmt̪ʰɑːm,,
ꢱꢪ꣄ꢦꢵꢡꢒꣁ,स्म्पातका॑,ஸம்பாதகொ,sampaatako',sampAtakO,sampātakŏ,s̪əmpɑːt̪əko,editor,பதிப்பாசிரியர்  
ꢥꣃꢒꣁ,नौका॑,நௌகொ,nauko',naukO,naukŏ,n̪əuko,coracle (round boat),பரிசல்  
ꢥꢸꢡꢸ ,रुतु,ருது,nutu,nutu,nutu,n̪ut̪u,season,பருவம்  
ꢣꢵꢡ꣄ ꢗꢾꢒ꣄ꢒꢸꢬ꣄,दातु च॑क्कुर्,தா3து செக்குர்,daat che'kkur,dAt cEkkur,dāt cĕkkur,d̪ɑːt̪ t͡ʃekkuɾ,gear,பல்சக்கரம்  
ꢮꢶꢞꢶ,विडि,விடி3,vid'i,viDi,viḍi,ʋɪɖɪ,window,பலகணி  
ꢦꣁꢭ꣄ꢒꣁ,पोल्का॑,பொல்கொ,po'lko',pOlkO,pŏlkŏ,polko,wooden plank,பலகை  
ꢦꢭ꣄ꢒꣁ,पल्का॑,பல்கொ,palko',palkO,palkŏ,pəlko,wooden plank,பலகை  
ꢩꢵꢬ꣄ ꢡꢸꢒ꣄ꢒꢸꢥꢵꢮ꣄,भार्तुक्कुनाव,பா4ர்துக்குனாவ்,bhaar tukkunaav,bhAr tukkunAv,bhār tukkunāv,bʰɑːɾ t̪ukkun̪ɑːʋ,crane,பளுதூக்கி  
ꢂꢲꢶꢡꢸꢠ꣄ꢞꢶꢒꣁ,अहितुण्डिका॑,அஹிதுண்டி3கொ,ahitund'iko',ahituNDikO,ahituṇḍikŏ,əɦɪt̪uɳɖɪko,snake charmer,பாம்பாட்டி  
ꢱꢵꢦꢸꢮꢱꢒꣁ,सापुवसका॑,ஸாபுவஸகொ,saapuvasako',sApuvasakO,sāpuvasakŏ,s̪ɑːpuʋəs̪əko,snake charmer,பாம்பாட்டி  
ꢥꢮ꣄ ꢪꢵꢬ꣄ꢔ ꢗꢵꢭꢥ,नव मार्ग चालन,நவ் மார்க3 சாலன,nav maarga chaalana,nav mArga cAlana,nav mārga cālana,n̪əʋ mɑːɾgə t͡ʃɑːlən̪ə,mast,பாய்மரம்
ꢥꢮ꣄ ꢥꢶꢫꢥ꣄ꢡ꣄ꢬꢠ ꢦꢜꣁ,नव्नियन्त्रण पटा॑,நவ்நியந்த்ரண படொ,nav niyantrana pat'o',nav niyantraNa paTO,nav niyantraṇa paṭŏ,n̪əʋ n̪ɪjən̪t̪ɾəɳə pəʈo,mast,பாய்மரம்
ꢣꢵꢬ꣄,दार,தா3ர்,daar,dAr,dār,d̪ɑːɾ,ship,கப்பல்
ꢥꣃꢒꣁ,नौका॑,நெளகொ,nauko',naukO,naukŏ,n̪əuko,boat,படகு
ꢦꢖ꣄ꢗꢭ꣄,पञ्चल्,பஞ்சல்,pangchal,paGcal,paṅcal,pəŋt͡ʃəl,coracle,பரிசல்
ꢮꢡ꣄ꢡꢾ,वत्त॑,வத்தெ,vatte',vattE,vattĕ,ʋət̪t̪e,coracle,பரிசல்
ꢔꣁꢠꢪ꣄,गा॑णम्,கொ3ணம்,go'nam,gONam,gŏṇam,goɳəm,petticoat,பாவாடை
ꢦꢭꣁ,पला॑,பலொ,palo',palO,palŏ,pəlo,halfsaree,தாவணி
ꢌꢪꢸ ꢮꢱ꣄ꢡꢬ꣄,हेमु वस्तर,ஹேமு வஸ்தர்,e'mu vastar,Emu vastar,ĕmu vastar,emu ʋəs̪t̪əɾ,bra,கச்சு
ꢌꢪꢸ ꢨꢥ꣄ꢤꢶꢒꣁ,हेमु बन्धिका॑,ஹேமு ப3ந்தி4கொ,e'mu bandhiko',Emu bandhikO,ĕmu bandhikŏ,emu bən̪d̪ʰɪko,bra,கச்சு
ꢭꢖBꢔꣂꢜ꣄,लङ्गोट्,லங்கோ3ட்,langaBgot',laGaBgoT,laṅaBgoṭ,ləŋəBgoːʈ,loin,கோமணம்
ꢒꢰ꣄ꢜꢶ ꢨꣁꢜ꣄ꢜꣁ,कष्टि बा॑ट्टा॑,கஷ்டி பொ3ட்டொ,kasht'i bo't't'o',kaSTi bOTTO,kaṣṭi bŏṭṭŏ,kəʂʈɪ boʈʈo,loin,கோமணம்
ꢲꢿꢪꢸꢮꢱ꣄ꢡꢬ꣄,हेमुवस्तर्,ஹேமுவஸ்தர்,hemuvastar,hemuvastar,hemuvastar,ɦeːmuʋəs̪t̪əɾ,banian,பனியன்
ꢓꢥꢵꢮ꣄,कनाव,க2னாவ்,khanaav,khanAv,khanāv,kʰən̪ɑːʋ,crowbar,பாரைக்கோல்  
ꢔꢾꢜ꣄ꢨꢵꢬꣁ,ग॑ट्बारा॑,கெ3ட்பா3ரொ,ge't'baaro',gETbArO,gĕṭbārŏ,geʈbɑːɾo,crowbar,பாரைக்கோல்  
ꢣꢹꢡ꣄ꢒꢾꢬꣁ,दूतक॑रा॑,தூ3த்கெரொ,dootke'ro',dUtkErO,dūtkĕrŏ,d̪uːt̪keɾo,milkman,பால்காரன்  
ꢣꢹꢡ꣄ꢒꢾꢬꢶꢥ꣄,दूत्क॑रिन्,தூ3த்கெரின்,dootke'rin,dUtkErin,dūtkĕrin,d̪uːt̪keɾɪn̪,milkmaid,பால்காரி  
ꢡꢥꢶ,तनि,தனி,tani,tani,tani,t̪ən̪ɪ,warp,பாவு  
ꢔꢸꢪ꣄ꢦꢶꢥꢶ,गुम्प्नि,கு3ம்பினி,gumpini,gumpini,gumpini,gumpɪn̪ɪ,knitting,பின்னல்  
ꢮꢾꢥꢶ,व॑नि,வெனி,ve'ni,vEni,vĕni,ʋen̪ɪ,knitting,பின்னல்  
ꢪꢶꢜ꣄ꢜꣁ,मिट्टा॑,மிட்டொ,mit't'o',miTTO,miṭṭŏ,mɪʈʈo,pedestal,பீடம்  
ꢧꢷꢝꢪ꣄,फीठम्,பீட2ம்,pheet'ham,phITham,phīṭham,pʰiːʈʰəm,pedestal,பீடம்  
ꢦꢶꢦꢵꢫ꣄,पिपाय,பிபாய்,pipaay,pipAy,pipāy,pɪpɑːj,barrel,பீப்பாய்  
ꢧꢹꢭ꣄ꢒꢾꢬꢶꢥ꣄,फुल्क॑रिन,பூ2ல்கெரின்,phoolke'rin,phUlkErin,phūlkĕrin,pʰuːlkeɾɪn̪,florist (f),பூக்காரி  
ꢲꢨ꣄ꢨꢸ ꢥꢵꢱꢶꢥꢶ,हब्बु नास्नि,ஹப்3பு3 நாஸினி,habbu naasini,habbu nAsini,habbu nāsini,ɦəbbu n̪ɑːs̪ɪn̪ɪ,pesticide,பூச்சிக்கொல்லி  
ꢒ꣄ꢬꢸꢪꢶ ꢥꢵꢱꢶꢥꢶ,क्रुमि नासिनि,க்ருமி நாஸினி,krumi naasini,krumi nAsini,krumi nāsini,kɾumɪ n̪ɑːs̪ɪn̪ɪ,pesticide,பூச்சிக்கொல்லி  
ꢦꢸꢜ꣄ꢜꢭꢸ ꢒꢸꢞꣁ,पुट्टलु कुडा॑,புட்டலு குடொ3,put't'alu kud'o',puTTalu kuDO,puṭṭalu kuḍŏ,puʈʈəlu kuɖo,water sprayer,பூவாளி  
ꢒꢱꢵꢬ꣄,कसार,கஸார்,kasaar,kasAr,kasār,kəs̪ɑːɾ,goldsmith,பொற்கோல்லன்  
ꢱꣁꢥꢵꢬ꣄,सा॑नार,ஸொனார்,so'naar,sOnAr,sŏnār,s̪on̪ɑːɾ,goldsmith,பொற்கோல்லன்  
ꢱꢪꢱꢥꢶ,समसनि,ஸமஸனி,samasani,samasani,samasani,s̪əməs̪ən̪ɪ,carpenter`s square,மட்டம்  
ꢥꢴꢶꢥꢵꢮ꣄ ꢒꢾꢬꢵꢮ꣄,न्हिनाव क॑राव,நி:னாவ் கெராவ்,nhinaav ke'raav,nhinAv kErAv,nhināv kĕrāv,n̪ɦɪn̪ɑːʋ keɾɑːʋ,Leveler/smoothener,இழைப்புளி
ꢪꢥ꣄ꢡꢶꢮꢵꢡꢶ,मन्तिरवाति,மந்திரவாதி,mantivaati,mantivAti,mantivāti,mən̪t̪ɪʋɑːt̪ɪ,magician,மந்திரவாதி  
ꢮꣁꢫ꣄ꢣꢶꢥ꣄,वा॑य्दिन्,வொய்தி3ன்,vo'ydin,vOydin,vŏydin,ʋojd̪ɪn̪,folk doctor (f),மருத்துவச்சி  
ꢮꣁꢫ꣄ꢣꢸ,वा॑य्दु,வொய்து3,vo'ydu,vOydu,vŏydu,ʋojd̪u,folk doctor (m),மருத்துவன்  
ꢲꣁꢔꢡ꣄,हा॑गत्,ஹொக3த்,ho'gat,hOgat,hŏgat,ɦogət̪,medicine,மருந்து  
ꢦꢬꢱꢸ,परसु,பரஸு,parasu,parasu,parasu,pəɾəs̪u,axe,கோடாலி/மழு
ꢨꢮ꣄ꢭꢪ꣄,बव्लम्,ப3வ்லம்,bavlam,bavlam,bavlam,bəʋləm,soapstone,மாக்கல்  
ꢂꢣ꣄ꢣꢶ ꢩꢵꢬ꣄,अद्दिभार्,அத்3தி3பா4ர்,addi bhaar,addi bhAr,addi bhār,əd̪d̪ɪ bʰɑːɾ,overweight,மிகைப்பளு  
ꢂꢣ꣄ꢣꢶ ꢨꢶꢱ꣄ꢱꣁ,अद्दिबिस्सा॑,அத்3தி3பி3ஸ்ஸொ,addi bisso',addi bissO,addi bissŏ,əd̪d̪ɪ bɪs̪s̪o,overspeed,மிகைவேகம்  
ꢦꢾꢭꢶ ꢨꢶꢱ꣄ꢱꣁ,भ॑ळिबिस्सा॑,பெ4ளிபி3ஸ்ஸொ,pe'li bisso',pEli bissO,pĕli bissŏ,pelɪ bɪs̪s̪o,overspeed,மிகைவேகம்  
ꢡꢾꢭ꣄ꢥꢶ,त॑ल्नि,தெல்னி,te'lni,tElni,tĕlni,t̪eln̪ɪ,float,மிதவை  
ꢮꢶꢣ꣄ꢫꢸꢡ꣄ ꢔꣀꢞꢶ,विद्युत गैडि,வித்3யுத்கை3டி3,vidyut gaid'i,vidyut gaiDi,vidyut gaiḍi,ʋɪd̪jut̪ gəɪɖɪ,battery,மின்கலம்  
ꢪꢴꢭꢶꢒꢾꢬꣁ,म्हळीक॑रा॑,ம:ளிகெரொ,mhalike'ro',mhalikErO,mhalikĕrŏ,mɦəlɪkeɾo,fish seller (m),மீன்காரன்  
ꢪꢴꢭꢶꢮꢵꢥ꣄,म्हलिवान,ம:ளிவான்,mhalivaan,mhalivAn,mhalivān,mɦəlɪʋɑːn̪,fish seller (m),மீன்காரன்  
ꢪꢴꢭꢶꢒꢾꢬꢶꢥ꣄,म्हळिक॑रिन,ம:ளிகெரின்,mhalike'rin,mhalikErin,mhalikĕrin,mɦəlɪkeɾɪn̪,fish seller (f),மீன்காரி  
ꢪꢴꢭꢶꢮꢡꢶ,म्हळिवति,ம:ளிவதி,mhalivati,mhalivati,mhalivati,mɦəlɪʋət̪ɪ,fish seller (f),மீன்காரி  
ꢗꢶꢔꢸꢬ꣄,चिकुर,சிகுர்,chigur,cigur,cigur,t͡ʃɪguɾ,sprout,முளை  
ꢂꢖ꣄ꢒꢸꢬ꣄,अङ्कुर,அங்குர்,ankur,aGkur,aṅkur,əŋkuɾ,sprout,முளை  
ꢂꢖ꣄ꢔꢸꢬꣁ,अङ्कुरा॑,அங்குரொ,anguro',aGgurO,aṅgurŏ,əŋguɾo,sprout,முளை  
ꢨꢶꢔꢶꢖ꣄ꢗꢸꢥꢵꢮ꣄,बिगिञ्चुनाव,பி3கி3ஞ்சுனாவ்,bigingchunaav,bigiGcunAv,bigiṅcunāv,bɪgɪŋt͡ʃun̪ɑːʋ,spanner,முறுக்கி  
ꢥꢶꢬ꣄ꢮꢵꢲꢶ,निर्वाहि,நிர்வாஹி,nirvaahi,nirvAhi,nirvāhi,n̪ɪɾʋɑːɦɪ,manager,மேலாளர்  
ꢒꢵꢪ꣄ ꢓꢜ꣄ꢥꢵꢬ꣄,काम खट्नार,காம் க2ட்னார்,kaam khat'naar,kAm khaTnAr,kām khaṭnār,kɑːm kʰəʈn̪ɑːɾ,manager,மேலாளர்  
ꢤꣁꢠ꣄ꢞꣁ ꢒꢾꢬꢶ,धा॑ण्डा॑क॑रि,தொ4ண்டொ3கெரி,dho'nd'o' ke'ri,dhONDO kEri,dhŏṇḍŏ kĕri,d̪ʰoɳɖo keɾɪ,drummer,மேளக்காரன்  
